Dependencia,count,mean,std,min,25%,50%,75%,max
FACULTAD DE TRABAJO SOCIAL Y DESARROLLO HUMANO,5039.0,16574.00923000595,11171.712920110469,383.88,8166.64,13233.12,22619.91,69673.32
FAC. DE ARTES VISUALES,4990.0,13381.782751503004,8165.070281602812,1008.31,8146.0275,10914.18,16620.875,68648.0
FAC. DE MED. VETERINARIA Y ZOOT.,4927.0,15474.851599350517,9840.61753048739,291.75,8260.59,12309.03,19882.309999999998,70765.45
ESCUELA PREPARATORIA #25,4704.0,15331.46919217687,7961.565427071193,608.85,9584.94,14308.08,18854.6125,73978.23
DIRECCION DE BIBLIOTECAS,4639.0,12284.209336063808,7259.778801881585,1015.33,8044.99,11084.51,14478.79,84383.72
FAC. DE CIENCIAS FORESTALES,4213.0,16802.1284049371,14714.282828658972,559.82,7207.59,10034.35,20021.82,85062.92
DEPARTAMENTO ESCOLAR Y DE ARCHIVO,4093.0,10623.686007818225,9337.795262958416,705.27,6953.71,8118.32,10537.4,97422.5
ESCUELA PREPARATORIA #23,4068.0,16211.191927236972,9011.962310538278,230.03,9608.3,14441.36,20302.5625,64881.6
FAC. DE MUSICA,3865.0,13032.825283311771,9934.53755589106,189.65,6663.71,10178.13,16843.78,69288.06
ESCUELA PREPARATORIA # 4,3500.0,12693.139774285712,7003.638134046814,1007.6,7622.58,11423.825,15813.935000000001,62421.18
DIRECCION DE PREVENCION Y PROTECCION UNIVERSITARIA,3127.0,10679.48959385993,6319.263643110839,2618.34,7670.49,9590.82,11564.54,70171.73
FAC. DE ECONOMIA,3045.0,18227.388272577995,12521.869187296255,742.43,8676.66,13330.16,25804.56,79018.64
DIRECCION DE TECNOLOGIAS DE INFORMACION,2977.0,11455.848787369836,7167.612912676496,2218.23,8313.11,10425.05,12575.14,95931.77
FAC. DE CIENCIAS DE LA TIERRA,2954.0,20269.28471563981,14096.810237490747,1102.41,8632.3725,16247.51,28230.98,85538.87
DIRECCION GENERAL DE TECNOLOGÍAS Y DESARROLLO DIGITAL,2878.0,14371.618036831132,5401.396241185001,2878.46,11424.79,12833.895,16535.7375,42239.32
TESORERIA GENERAL,2860.0,16224.493451048953,10929.214816904734,245.38,9218.255000000001,12654.025000000001,18704.1625,87384.51
AUDITORIA INTERNA DE LA U.A.N.L.,2708.0,12993.491938700146,6173.853284531698,2694.8,9408.95,11661.4,14398.27,68323.61
ORQUESTA SINFONICA,2698.0,11877.324077094143,3912.853359232645,326.27,9780.41,11301.9,13462.805,50610.28
DIRECCION DE SERVICIOS GENERALES,2572.0,9973.733044323484,4870.261604459526,2597.12,7716.16,9174.13,10922.32,52132.62
LIBRERIA UNIVERSITARIA,2523.0,10034.046726119699,5276.015473000175,1684.2,7129.99,8533.36,11434.835,53411.65
C.DE INV.Y DES.DE ED.BILINGUE,2479.0,14503.070669624847,8174.759578393268,2903.41,9279.97,13294.46,17465.254999999997,77130.15
DIRECCIÓN GENERAL DE RADIO Y TELEVISIÓN UNIVERSITARIA,2460.0,11064.513199186991,5000.872028653565,407.16,7614.16,10159.77,13330.16,43737.83
ESCUELA PREPARATORIA #12,2459.0,13896.574977633183,7257.738476580288,882.03,8882.575,12623.45,17029.760000000002,115258.74
SECRETARIA ACADEMICA,2427.0,12863.099946435928,11600.878130903078,583.16,7266.81,9522.79,13257.0,104335.86
