group1,group2,meandiff,p-adj,lower,upper,reject
AUDITORIA INTERNA DE LA U.A.N.L.,´CAPILLA ALFONSINA´ BIBLIOTECA UNIVERSITARIA,701.1786,1.0,-1053.4173,2455.7745,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,C.DE ESTUDIOS HUMANISTICOS,3137.3657,0.1457,-222.4387,6497.1701,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,C.DE INV.Y DES.DE ED.BILINGUE,2048.6296,0.2433,-236.6265,4333.8857,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CAPILLA ALFONSINA BIBLIOTECA UNIVERSITARIA,-665.4316,1.0,-2991.7274,1660.8642,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO ACUATICO OLIMPICO UNIVERSITARIO,-689.7367,1.0,-3046.7937,1667.3203,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE ACONDICIONAMIENTO FISICO MAGISTERIAL,-1522.9232,0.9986,-3994.5431,948.6967,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE DESARROLLO DE AGRONEGOCIOS,3416.407,0.1422,-235.8666,7068.6806,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE DESARROLLO EMPRESARIAL,5364.0872,0.0,1678.9438,9049.2305,True
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE DESARROLLO INTEGRAL DEL ESTUDIANTE,1738.2545,1.0,-8613.7481,12090.2571,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE ESTUDIOS Y CERTIFICACIÓN DE LENGUAS EXTRANJERAS,3146.285,0.0012,485.0972,5807.4729,True
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE EVALUACIONES,-1118.0784,1.0,-3691.0083,1454.8516,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE FOMENTO GANADERO VALLECILLO,-792.4235,1.0,-3362.8567,1778.0097,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE INCUBACION DE EMPRESAS Y TRANSF. DE TECNOLOGIA,5752.8635,0.0,3148.707,8357.0199,True
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE INVESTIGACION EN PRODUCCION AGROPECUARIA,-2374.7285,0.0264,-4668.9026,-80.5543,True
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE INVESTIGACION Y DESARROLLO EN CIENCIAS DE LA SALUD,-1305.9143,1.0,-3694.4244,1082.5958,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE VINCULACION SOCIAL Y EMPRESARIAL,2591.8516,0.9909,-1373.9936,6557.6967,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO DE VINCULACIÓN Y EMPRESAS UNIVERSITARIAS,1783.8139,1.0,-1650.1567,5217.7844,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CENTRO UNIVERSITARIO DE SALUD,-1209.486,1.0,-3393.1032,974.1313,False
